2012-09-23 22:42:21 status unpacked debianutils 4.2.1ubuntu2
2012-09-23 22:42:21 status unpacked debianutils 4.2.1ubuntu2
2012-09-23 22:42:21 install diffutils <none> 1:3.2-1ubuntu1
2012-09-23 22:42:21 status half-installed diffutils 1:3.2-1ubuntu1
2012-09-23 22:42:21 status unpacked diffutils 1:3.2-1ubuntu1
2012-09-23 22:42:21 status unpacked diffutils 1:3.2-1ubuntu1
2012-09-23 22:42:21 upgrade dpkg 1.16.1.2ubuntu7 1.16.1.2ubuntu7
2012-09-23 22:42:21 status half-configured dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:21 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:21 status half-installed dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:21 status half-installed dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:21 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:21 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:22 install e2fslibs <none> 1.42-1ubuntu2
2012-09-23 22:42:22 status half-installed e2fslibs 1.42-1ubuntu2
2012-09-23 22:42:22 status unpacked e2fslibs 1.42-1ubuntu2
2012-09-23 22:42:22 status unpacked e2fslibs 1.42-1ubuntu2
2012-09-23 22:42:22 install e2fsprogs <none> 1.42-1ubuntu2
2012-09-23 22:42:22 status half-installed e2fsprogs 1.42-1ubuntu2
2012-09-23 22:42:22 status unpacked e2fsprogs 1.42-1ubuntu2
2012-09-23 22:42:22 status unpacked e2fsprogs 1.42-1ubuntu2
2012-09-23 22:42:22 install findutils <none> 4.4.2-4ubuntu1
2012-09-23 22:42:22 status half-installed findutils 4.4.2-4ubuntu1
2012-09-23 22:42:22 status unpacked findutils 4.4.2-4ubuntu1
2012-09-23 22:42:22 status unpacked findutils 4.4.2-4ubuntu1
2012-09-23 22:42:22 install gcc-4.6-base <none> 4.6.3-1ubuntu5
2012-09-23 22:42:22 status half-installed gcc-4.6-base 4.6.3-1ubuntu5
2012-09-23 22:42:22 status unpacked gcc-4.6-base 4.6.3-1ubuntu5
2012-09-23 22:42:22 status unpacked gcc-4.6-base 4.6.3-1ubuntu5
2012-09-23 22:42:22 install grep <none> 2.10-1
2012-09-23 22:42:22 status half-installed grep 2.10-1
2012-09-23 22:42:23 status unpacked grep 2.10-1
2012-09-23 22:42:23 status unpacked grep 2.10-1
2012-09-23 22:42:23 install gzip <none> 1.4-1ubuntu2
2012-09-23 22:42:23 status half-installed gzip 1.4-1ubuntu2
2012-09-23 22:42:23 status unpacked gzip 1.4-1ubuntu2
2012-09-23 22:42:23 status unpacked gzip 1.4-1ubuntu2
2012-09-23 22:42:23 install hostname <none> 3.06ubuntu1
2012-09-23 22:42:23 status half-installed hostname 3.06ubuntu1
2012-09-23 22:42:23 status unpacked hostname 3.06ubuntu1
2012-09-23 22:42:23 status unpacked hostname 3.06ubuntu1
2012-09-23 22:42:23 install ifupdown <none> 0.7~beta2ubuntu8
2012-09-23 22:42:23 status half-installed ifupdown 0.7~beta2ubuntu8
2012-09-23 22:42:23 status unpacked ifupdown 0.7~beta2ubuntu8
2012-09-23 22:42:23 status unpacked ifupdown 0.7~beta2ubuntu8
2012-09-23 22:42:24 install initramfs-tools <none> 0.99ubuntu13
2012-09-23 22:42:24 status half-installed initramfs-tools 0.99ubuntu13
2012-09-23 22:42:24 status unpacked initramfs-tools 0.99ubuntu13
2012-09-23 22:42:24 status unpacked initramfs-tools 0.99ubuntu13
2012-09-23 22:42:24 install initramfs-tools-bin <none> 0.99ubuntu13
2012-09-23 22:42:24 status half-installed initramfs-tools-bin 0.99ubuntu13
2012-09-23 22:42:24 status unpacked initramfs-tools-bin 0.99ubuntu13
2012-09-23 22:42:24 status unpacked initramfs-tools-bin 0.99ubuntu13
2012-09-23 22:42:24 install initscripts <none> 2.88dsf-13.10ubuntu11
2012-09-23 22:42:24 status half-installed initscripts 2.88dsf-13.10ubuntu11
2012-09-23 22:42:24 status unpacked initscripts 2.88dsf-13.10ubuntu11
2012-09-23 22:42:24 status unpacked initscripts 2.88dsf-13.10ubuntu11
2012-09-23 22:42:24 install insserv <none> 1.14.0-2.1ubuntu2
2012-09-23 22:42:24 status half-installed insserv 1.14.0-2.1ubuntu2
2012-09-23 22:42:24 status unpacked insserv 1.14.0-2.1ubuntu2
2012-09-23 22:42:24 status unpacked insserv 1.14.0-2.1ubuntu2
2012-09-23 22:42:24 install iproute <none> 20111117-1ubuntu2
2012-09-23 22:42:24 status half-installed iproute 20111117-1ubuntu2
2012-09-23 22:42:25 status unpacked iproute 20111117-1ubuntu2
2012-09-23 22:42:25 status unpacked iproute 20111117-1ubuntu2
2012-09-23 22:42:25 install klibc-utils <none> 1.5.25-1ubuntu2
2012-09-23 22:42:25 status half-installed klibc-utils 1.5.25-1ubuntu2
2012-09-23 22:42:25 status unpacked klibc-utils 1.5.25-1ubuntu2
2012-09-23 22:42:25 status unpacked klibc-utils 1.5.25-1ubuntu2
2012-09-23 22:42:25 install libacl1 <none> 2.2.51-5ubuntu1
2012-09-23 22:42:25 status half-installed libacl1 2.2.51-5ubuntu1
2012-09-23 22:42:25 status unpacked libacl1 2.2.51-5ubuntu1
2012-09-23 22:42:25 status unpacked libacl1 2.2.51-5ubuntu1
2012-09-23 22:42:25 install libattr1 <none> 1:2.4.46-5ubuntu1
2012-09-23 22:42:25 status half-installed libattr1 1:2.4.46-5ubuntu1
2012-09-23 22:42:25 status unpacked libattr1 1:2.4.46-5ubuntu1
